,Path,Original_Effect,Bootstrap_Mean,Bootstrap_SD,t_value,p_value,CI_2.5%,CI_97.5%,Significant_0.05
0,ReviewType -> ReviewAuthenticity,0.4853006059556039,0.4867248964130201,0.07833792262392882,6.1949639421171705,6.296874133226993e-10,0.3231136539377344,0.6325714665802653,Yes
1,ReviewType -> Trust,-0.005926439478076233,-0.00803364335271953,0.09367222670027055,-0.06326784028567473,0.9495557536748083,-0.1898623344512551,0.17600629653859043,No
2,ReviewAuthenticity -> Trust,0.7492454722137352,0.7567359696285212,0.06629097619606353,11.302375001957305,0.0,0.6215187956943593,0.8783347388936165,Yes
3,ReviewType -> PerceivedRisk,0.2807820659439463,0.2798929412362958,0.11047255548908382,2.541645431309782,0.011063148172896442,0.06415204293718628,0.4869491164591061,Yes
4,ReviewAuthenticity -> PerceivedRisk,-0.6946631886581986,-0.6946709753937467,0.08917281133774443,-7.790078368474254,7.993605777301127e-15,-0.8474316224566915,-0.5001581191350458,Yes
5,ReviewType -> BookingIntention,-0.0885392140597554,-0.0825203898123473,0.0883885226369553,-1.0017048754555955,0.31653463512637803,-0.25806586992662334,0.09465131404614456,No
6,PreBookingIntention -> BookingIntention,0.47438950163879234,0.4716632931272671,0.07960092170470756,5.9595980986076595,2.7018822734703463e-09,0.30827085916722885,0.6199633786187081,Yes
7,ReviewAuthenticity -> BookingIntention,0.10139688040546069,0.07487098248716902,0.14321618589019958,0.7079987487112612,0.47897904271744807,-0.22467553376680893,0.3463548575652897,No
8,Trust -> BookingIntention,0.45687683245203575,0.4749002362871599,0.10859900403236024,4.20700757362283,2.6330649836925346e-05,0.2666582217562878,0.6932277849738016,Yes
9,PerceivedRisk -> BookingIntention,-0.06249621066803761,-0.07038059547242895,0.10555027586092555,-0.5920989799248222,0.5538110874390658,-0.270629109738399,0.14003388952531853,No
