,Construct,Real_Mean,Fake_Mean,Mean_Difference_Real_minus_Fake,t_value,p_value,Cohens_d
0,PreBookingIntention,2.890625,2.8055555555555554,0.08506944444444464,0.44854071663630823,0.6553586883504885,0.11012901964027932
1,ReviewAuthenticity,3.3359375,2.5902777777777777,0.7456597222222223,4.519790806562817,2.7209387407744366e-05,1.079847492768442
2,Trust,3.4765625,2.9791666666666665,0.4973958333333335,3.1974323839080325,0.002147996369072296,0.7781430245895454
3,PerceivedRisk,3.71875,3.7847222222222223,-0.06597222222222232,-0.38460910958064715,0.7017744168188194,-0.09227294829052665
4,BookingIntention,3.397321428571429,3.1825396825396823,0.2147817460317465,1.2090744678011602,0.23100076829952396,0.29360105528599173
