,Indirect_Effect,Original_Effect,Bootstrap_Mean,Bootstrap_SD,t_value,p_value,CI_2.5%,CI_97.5%,Significant_0.05
0,ReviewType -> ReviewAuthenticity -> BookingIntention,0.04920796750277798,0.036188974494369495,0.07111804036281362,0.6919196205595671,0.489019942798929,-0.11005515208807033,0.17405948477802835,No
1,ReviewType -> ReviewAuthenticity -> Trust -> BookingIntention,0.166124656861751,0.17663949441552917,0.05724832403433362,2.901825680732956,0.0037261567730764167,0.07608680936523478,0.3027592160182789,Yes
2,ReviewType -> ReviewAuthenticity -> PerceivedRisk -> BookingIntention,0.021068751688071267,0.023991372134799117,0.036878987410191424,0.5712942021355218,0.5678259137191792,-0.04864149454656268,0.10050096195030499,No
3,ReviewType -> Trust -> BookingIntention,-0.002707652896462165,-0.0038205827682725535,0.04551023159516934,-0.05949547610629095,0.9525598467723211,-0.09896133435287904,0.08514224426667033,No
4,ReviewType -> PerceivedRisk -> BookingIntention,-0.017547815145039693,-0.020121209989488853,0.03398811797013261,-0.5162926396942604,0.6056728722156568,-0.09656580977765054,0.04140748318289949,No
5,ReviewAuthenticity -> Trust -> BookingIntention,0.3423128980740411,0.36083326015367034,0.09419073719470225,3.634252244638918,0.00028158914901155185,0.18935837558390814,0.5557009405601191,Yes
6,ReviewAuthenticity -> PerceivedRisk -> BookingIntention,0.04341381698171354,0.048793086069562605,0.07455400415276017,0.5823136862341988,0.560381669738006,-0.09997740149223379,0.19614951944547895,No
